,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamento,aumento_reducao_caixa_equivalentes,datas,tic
30,12.56,1110.0,-1700.0,-579.91,31/03/2017,BBSE3
31,470.42,348.78,,819.2,31/12/2016,BBSE3
32,-5.74,1030.0,-1670.0,-644.17,30/09/2016,BBSE3
33,940.3,18.25,,958.67,30/06/2016,BBSE3
34,262.52,924.7,-1710.0,-519.86,31/03/2016,BBSE3
35,411.85,16.91,-48.7,380.07,31/12/2015,BBSE3
36,21.18,1090.0,-1770.0,-650.35,30/09/2015,BBSE3
37,280.25,,,280.25,30/06/2015,BBSE3
38,311.71,740.85,-1600.0,-543.32,31/03/2015,BBSE3
39,461.78,22.31,,484.1,31/12/2014,BBSE3
40,461.78,22.31,,484.1,30/09/2014,BBSE3
41,463.18,245.47,,708.65,30/06/2014,BBSE3
42,275.26,271.87,-1180.0,-631.51,31/03/2014,BBSE3
43,291.17,479.18,,770.35,31/12/2013,BBSE3
44,605.95,205.19,-1470.0,-660.5,30/09/2013,BBSE3
45,292.85,,,292.86,30/06/2013,BBSE3
46,-73.49,114.63,13.5,54.64,31/03/2013,BBSE3
47,,,,,31/12/2012,BBSE3
0,1890.0,-147.81,-1360.0,304.85,30/09/2024,BEEF3
1,766.0,-204.3,-229.46,714.04,30/06/2024,BEEF3
2,1360.0,-181.87,1910.0,3120.0,31/03/2024,BEEF3
3,937.8,-223.55,1530.0,2220.0,31/12/2023,BEEF3
4,1190.0,-1700.0,4520.0,4260.0,30/09/2023,BEEF3
5,578.36,-187.09,-470.04,-176.3,30/06/2023,BEEF3
6,-8.36,-371.49,-229.57,-697.9,31/03/2023,BEEF3
7,1080.0,-1090.0,-570.53,-894.69,31/12/2022,BEEF3
8,1110.0,-214.55,648.19,1760.0,30/09/2022,BEEF3
9,105.62,-178.96,582.18,913.94,30/06/2022,BEEF3
10,840.21,-172.82,-2110.0,-2009.9999999999998,31/03/2022,BEEF3
11,648.75,-230.77,-1350.0,-728.7,31/12/2021,BEEF3
12,412.03,-194.89,900.56,1690.0,30/09/2021,BEEF3
13,483.64,-69.45,-209.44,-68.18,30/06/2021,BEEF3
14,1050.0,-73.42,-1310.0,18.7,31/03/2021,BEEF3
15,-159.95,-99.49,-809.98,-949.22,31/12/2020,BEEF3
16,954.59,-131.05,-357.79,509.09,30/09/2020,BEEF3
17,711.2,-50.03,-264.06,515.58,30/06/2020,BEEF3
18,1720.0,-95.53,-396.51,1850.0,31/03/2020,BEEF3
19,240.99,-63.19,664.47,855.52,31/12/2019,BEEF3
20,955.17,-61.93,-251.08,526.26,30/09/2019,BEEF3
21,322.39,-94.09,-926.46,-775.11,30/06/2019,BEEF3
22,239.34,-27.85,-755.76,-533.97,31/03/2019,BEEF3
23,340.06,-43.25,-300.99,223.72,31/12/2018,BEEF3
24,406.5,-46.1,-323.82,-25.7,30/09/2018,BEEF3
25,395.76,-50.83,121.27,321.65,30/06/2018,BEEF3
26,187.57,-48.91,-102.57,69.97,31/03/2018,BEEF3
27,-136.33,-72.74,816.72,607.65,31/12/2017,BEEF3
28,604.5,-1180.0,-601.03,-1180.0,30/09/2017,BEEF3
29,60.27,-77.79,1450.0,1430.0,30/06/2017,BEEF3
30,59.78,-52.99,-459.86,-453.07,31/03/2017,BEEF3
31,378.13,-65.76,-150.24,162.13,31/12/2016,BEEF3
32,-152.05,-69.2,680.11,458.86,30/09/2016,BEEF3
33,150.79,-7.45,-720.48,-577.15,30/06/2016,BEEF3
34,205.23,-37.19,436.06,604.1,31/03/2016,BEEF3
35,221.83,-43.33,-1070.0,-892.27,31/12/2015,BEEF3
36,416.09,-168.28,726.62,974.43,30/09/2015,BEEF3
37,-120.96,-47.31,-170.73,-339.01,30/06/2015,BEEF3
38,442.31,-102.88,192.96,532.39,31/03/2015,BEEF3
39,256.37,-83.19,260.98,434.17,31/12/2014,BEEF3
40,162.94,-63.37,33.36,132.94,30/09/2014,BEEF3
